brand,volume,dm_deflect_rate,link_only_rate,median_reply_len,lexical_diversity,median_thread_depth,resolves_in_channel
AmazonHelp,169840,0.006494347621290627,7.654262835609986e-05,101.0,0.15836850938310532,2.0,0.9934291097503533
AppleSupport,106860,0.5251450495976043,0.0,100.0,0.08601300298717272,2.0,0.47485495040239567
Uber_Support,56270,0.35308334814288256,3.554291807357384e-05,84.0,0.08587552989519129,2.0,0.6468811089390438
SpotifyCares,43265,0.3085866173581417,2.3113371085172773e-05,109.0,0.09164393136569637,2.0,0.6913902692707731
Delta,42253,0.1646273637374861,0.0,89.0,0.14121401318071453,2.0,0.8353726362625139
Tesco,38573,0.26837425141938664,0.00018147408809270733,124.0,0.10534110267926282,2.0,0.7314442744925207
AmericanAir,36764,0.18885322598193885,2.72005222500272e-05,97.0,0.12721323050184663,2.0,0.8111195734958111
TMobileHelp,34317,0.8282483900107819,2.914007634700003e-05,102.0,0.11414371842919993,2.0,0.17172246991287113
comcastcares,33031,0.7149041809209531,3.0274590536162998e-05,117.0,0.0769126381828241,2.0,0.28506554448851074
British_Airways,29361,0.14004972582677702,6.811757092742072e-05,114.0,0.12131030758447946,2.0,0.8598821566022956
SouthwestAir,28977,0.177520102149981,6.902025744556027e-05,106.0,0.13778687928652789,2.0,0.8224108775925734
VirginTrains,27817,0.026099148003019736,0.002336700578782759,66.0,0.14465556599973142,2.0,0.9715641514181975
Ask_Spectrum,25860,0.49505027068832175,0.0,116.0,0.09066832021355979,2.0,0.5049497293116783
XboxSupport,24557,0.2093496762633872,0.0,96.0,0.09606398387807796,2.0,0.7906503237366128
sprintcare,22381,0.4782628122067825,8.936151199678298e-05,104.0,0.09877012655219536,2.0,0.5216478262812208
hulu_support,21872,0.005943672275054865,0.0,106.0,0.11789156351345179,2.0,0.9940563277249451
sainsburys,19466,0.23045309770882563,5.1371622315832736e-05,105.0,0.11599518941671677,2.0,0.7694955306688586
GWRHelp,19364,0.014201611237347655,0.0005680644494939062,99.0,0.11067835530238636,2.0,0.9852303243131585
AskPlayStation,19098,0.27683527070897473,0.0,83.0,0.11331098649791674,2.0,0.7231647292910253
ChipotleTweets,18749,0.011467278254840257,0.0005333617792948957,55.0,0.16157551368818973,2.0,0.9879993599658649
VerizonSupport,17966,0.11688745407992876,0.0,72.0,0.11120117217944321,4.0,0.8831125459200713
UPSHelp,17817,0.683672896671718,0.00022450468653533142,110.0,0.0747967309742282,2.0,0.3161025986417466
ATVIAssist,17650,0.23705382436260622,0.0,95.0,0.10742915359661116,2.0,0.7629461756373938
O2,16212,0.2820133234641007,0.0003700962250185048,93.0,0.10862144420131291,2.0,0.7176165803108808
Safaricom_Care,16077,0.19244883995770354,6.220065932698886e-05,69.0,0.1634100013164576,2.0,0.8074889593829695
idea_cares,15724,0.20567285677944544,0.0,115.0,0.06921684071471683,2.0,0.7943271432205545
AskTarget,13218,0.3395369950068089,0.0,138.0,0.08645530671192135,2.0,0.6604630049931911
AirAsiaSupport,12829,0.17398082469405254,0.0,102.0,0.12137698407301116,2.0,0.8260191753059475
BofA_Help,12683,0.06394386186233542,0.004336513443191674,91.0,0.08116955170883267,2.0,0.931719624694473
SW_Help,12231,0.0071130733382389014,8.17594636579184e-05,98.0,0.10761302237362583,2.0,0.9928051671981032
ArgosHelpers,12174,0.2980942993264334,0.02168555938886151,92.0,0.11838372827608418,2.0,0.6802201412847051
AskLyft,11809,0.5660089762045897,0.006097044626979423,106.0,0.08136944542150311,2.0,0.4278939791684309
marksandspencer,11504,0.11265646731571627,0.004954798331015299,100.0,0.13872173934576432,2.0,0.8823887343532685
AskAmex,11358,0.01593590420848741,0.00035217467864060575,90.0,0.09846241287504862,2.0,0.983711921112872
MicrosoftHelps,11304,0.07793701344656759,0.0,106.0,0.10005718193947684,4.0,0.9220629865534324
AskPayPal,11298,0.7372986369268897,0.0003540449637103912,116.0,0.10724281593846811,2.0,0.26234731810939993
Morrisons,10126,0.25360458226348015,0.0004937783922575548,95.0,0.11415303856248737,2.0,0.7459016393442623
AdobeCare,9917,0.0909549258848442,0.00020167389331451045,107.0,0.09303936149680408,2.0,0.9088434002218413
airtel_care,9881,0.17984009715615829,0.0,98.0,0.0768742864391729,2.0,0.8201599028438418
AskeBay,9686,0.28546355564732606,0.0,120.0,0.10161842208762684,2.0,0.7145364443526739
AirbnbHelp,8875,0.5947042253521126,0.0,132.0,0.0811295082595531,2.0,0.40529577464788735
ChaseSupport,8811,0.4745204857564408,0.0,113.0,0.07638911206093132,2.0,0.5254795142435592
McDonalds,8478,0.006841236140599198,0.0,67.0,0.1382739707923082,2.0,0.9931587638594008
AldiUK,8114,0.28420014789253145,0.006901651466600937,105.0,0.1096426633594295,2.0,0.7088982006408676
JetBlue,8020,0.10648379052369077,0.020199501246882794,84.0,0.15011756458750164,2.0,0.8733167082294265
CoxHelp,7861,0.4428189797735657,0.00012721027859051011,103.0,0.0894679014283472,2.0,0.5570538099478437
Ask_WellsFargo,7578,0.3844022169437846,0.0,121.0,0.07355924796853704,2.0,0.6155977830562154
AzureSupport,7565,0.18968935888962327,0.0,84.0,0.08814508204043954,2.5,0.8103106411103768
AlaskaAir,7478,0.13212088793795132,0.0,74.0,0.13630583501006036,2.0,0.8678791120620487
HPSupport,7200,0.3884722222222222,0.0009722222222222222,114.0,0.06946677815655754,2.0,0.6105555555555555
LondonMidland,6822,0.009821166813251247,0.0043975373790677225,85.0,0.12392227512546648,3.0,0.985781295807681
GloCare,6308,0.01696258719086874,0.0001585288522511097,91.0,0.08936502654764833,2.0,0.9828788839568802
DropboxSupport,5954,0.19969768223043333,0.00016795431642593214,126.0,0.10058603617257755,2.0,0.8001343634531408
DellCares,5336,0.37368815592203897,0.0,121.0,0.07396252007140934,2.0,0.626311844077961
GreggsOfficial,4522,0.17027863777089783,0.014153029632905795,33.0,0.19516344316784004,2.0,0.8155683325961964
nationalrailenq,4444,0.0036003600360036,0.00045004500450045,81.0,0.11383075104033905,3.0,0.995949594959496
VirginAtlantic,4318,0.08012968967114405,0.0025474756831866605,83.0,0.11909986012451661,2.0,0.9173228346456692
TacoBellTeam,4082,0.40249877511024007,0.014453699167074964,37.0,0.12503406551479807,2.0,0.583047525722685
AskCiti,4081,0.267826513109532,0.000490075961774075,128.0,0.05379599038245317,2.0,0.7316834109286939
AskPapaJohns,3908,0.6212896622313203,0.0,92.0,0.08872512040851854,2.0,0.3787103377686797
CenturyLinkHelp,3801,0.7816364114706656,0.0,107.0,0.07233059975957247,2.0,0.21836358852933435
NikeSupport,3468,0.10784313725490197,0.0002883506343713956,92.0,0.08322879985491256,4.0,0.8918685121107266
Postmates_Help,3346,0.7722653915122535,0.011954572624028692,65.0,0.09846093520243114,2.0,0.21578003586371783
VirginAmerica,2815,0.136056838365897,0.0,76.0,0.13262483286458573,2.0,0.863943161634103
ATT,2790,0.5695340501792114,0.001075268817204301,122.0,0.12285971327413082,2.0,0.42939068100358424
Walmart,2643,0.001513431706394249,0.0,69.0,0.2423296931877275,2.0,0.9984865682936057
IHGService,2643,0.40597805524025726,0.0,123.0,0.08767373919202054,2.0,0.5940219447597428
TfL,2243,0.02808738296923763,0.0008916629514043691,102.0,0.13687221334230673,2.0,0.971020954079358
askpanera,2153,0.7199256850905713,0.0,114.0,0.07553438224785307,2.0,0.2800743149094287
KFC_UKI_Help,2103,0.7023300047551118,0.0,89.0,0.0822569180617172,2.0,0.29766999524488824
NortonSupport,2011,0.1337642963699652,0.0004972650422675286,102.0,0.13124734960925669,4.0,0.8657384385877672
